folio_i,folio_int,sexo,edad,peso,estatura,imc,muestra_suero,ac_urico,albu,col_hdl,col_ldl,colest,creat,glu_suero,insulina,trig,hb1ac,ponde_venosa,estrato,est_sel,ponde_hemo,riesgo_diabetes_cat,nombre_completo,nss,CURP,unidad_medica
2024_12001003,2024_12001003_01,Hombre,75,,,,1,5.6,3.5,29,120,153,1.14,191,7.9,118,,"2,630,327,668",3,123,"238,078,311",2,Javier Lopez Garcia,70746385554,JAH11001003HDFRRA01,Hospital Regional Sur
2024_12001003,2024_12001003_04,Hombre,35,50.6,161.2,,1,4.6,4,51,84,149,0.71,84,1.5,107,,"1,367,499,279",3,123,,0,Eduardo Hernandez Ramirez,11907568214,EDH81001003HDFRRA01,Hospital Regional Sur
2024_12001005,2024_12001005_01,Hombre,50,96.3,162.4,,1,4.5,3.5,43,107,153,0.91,117,7.7,80,,"6,483,525,707",3,123,,2,Eduardo Perez Gonzalez,43956976899,EDH33001005HDFRRA01,Unidad Médica Familiar 22
2024_12001025,2024_12001025_01,Mujer,40,74.4,157.3,,1,6.3,4,45,123,181,0.77,98,8.5,138,5,"1,640,527,686",3,123,"1,434,832,147",0,Gabriela Gonzalez Garcia,36916562581,GAM96001025HDFRRA01,Hospital Regional Sur
2024_12001030,2024_12001030_01,Mujer,34,92.1,161.4,,1,4.5,3.9,35,89,121,0.6,90,15.7,79,,"3,281,055,372",3,123,"2,869,664,294",0,Maria Martinez Gonzalez,51809981257,MAM94001030HDFRRA01,Unidad Médica Familiar 22
2024_12001040,2024_12001040_03,Hombre,20,60.5,160.2,,1,4.9,4,42,84,122,0.68,101,3.3,74,,"6,157,698,571",3,123,,2,Eduardo Gonzalez Ramirez,86729869326,EDH29001040HDFRRA01,Unidad Médica Familiar 22
2024_12001044,2024_12001044_02,Mujer,67,,,,1,3.6,4.6,54,90,151,0.65,90,5.5,106,,"2,833,107,333",3,123,"1,571,379,242",0,Sofia Hernandez Cortes,70826633486,SOM61001044HDFRRA01,Hospital Regional Sur
2024_12001046,2024_12001046_02,Mujer,54,58.35,160.2,,1,2.7,3.4,49,133,187,0.47,296,5.4,115,,"1,163,893,283",3,123,,2,Gabriela Hernandez Cortes,73768289238,GAM94001046HDFRRA01,Hospital Regional Sur
2024_12001046,2024_12001046_03,Mujer,23,74.5,164.1,,1,4.8,4.5,42,86,131,0.74,94,10.8,103,,"223,259,216",3,123,"2,300,590,097",0,Maria Perez Sanchez,74798180322,MAM99001046HDFRRA01,HGZ 1 - Centro
2024_12001052,2024_12001052_01,Mujer,50,94.3,156,,1,4.2,4.3,46,118,171,0.66,174,38.3,145,,"1,330,431,955",3,123,"8,908,691,931",2,Maria Gonzalez Cortes,61774431246,MAM53001052HDFRRA01,Centro de Salud Urbano N01
2024_12001057,2024_12001057_02,Mujer,22,69.4,163.6,,1,5.8,3.2,38,43,81,0.2,85,3.2,77,,"2,096,858,046",3,123,"2,160,721,936",0,Gabriela Hernandez Gonzalez,68746993316,GAM83001057HDFRRA01,Unidad Médica Familiar 22
2024_12001063,2024_12001063_01,Hombre,61,,,,1,5.8,3.7,39,120,192,0.78,125,12.4,265,,"8,169,682,823",3,123,"1,360,929,907",2,Javier Garcia Ramirez,69716837347,JAH44001063HDFRRA01,Centro de Salud Urbano N01
2024_12001064,2024_12001064_01,Hombre,56,87.45,161.9,,1,6.1,3.8,41,48,95,0.81,112,9.5,73,,"1,633,936,565",3,123,,2,Eduardo Sanchez Cortes,19887674015,EDH51001064HDFRRA01,Clínica 14 - Santa Fe
2024_12001073,2024_12001073_02,Mujer,40,69.4,157.4,,1,6.3,3.1,39,67,113,0.6,90,5.5,127,5,"1,527,471,972",1,121,"1,256,953,239",0,Isabel Ramirez Lopez,23727969630,ISM96001073HDFRRA01,Unidad Médica Familiar 22
2024_12001074,2024_12001074_02,Mujer,30,54.85,148.4,,1,3.6,3.8,54,121,179,0.69,92,10.2,97,,"1,527,471,972",1,121,"1,256,953,239",0,Beatriz Gonzalez Ramirez,81739284684,BEM48001074HDFRRA01,Hospital Regional Sur
2024_12001075,2024_12001075_01,Mujer,55,106.6,147.6,,1,6.5,3.3,43,122,159,0.61,101,18.7,90,,"1,023,442,964",1,121,,2,Maria Cortes Rodriguez,84998598109,MAM65001075HDFRRA01,Unidad Médica Familiar 22
2024_12001076,2024_12001076_01,Mujer,39,68.4,154.9,,1,5.5,3.8,35,104,152,0.56,88,10.1,131,,"7,637,359,862",1,121,"6,284,766,196",0,Lucia Cortes Rodriguez,41784989324,LUM16001076HDFRRA01,Centro de Salud Urbano N01
2024_12001079,2024_12001079_01,Hombre,50,79.8,162.6,,1,0.8,3.9,38,109,173,0.87,96,8.6,234,,"1,587,180,974",1,121,,0,Raffael Martinez Lopez,55815376064,RAH11001079HDFRRA01,HGZ 1 - Centro
2024_12001079,2024_12001079_03,Mujer,28,59,151.6,,1,4.6,3.3,36,58,92,0.61,86,4.7,45,,"7,637,359,862",1,121,"6,284,766,196",0,Martha Sanchez Sanchez,71887114128,MAM61001079HDFRRA01,Clínica 14 - Santa Fe
2024_12001094,2024_12001094_01,Hombre,48,78.4,161.1,,1,9.9,3.6,35,134,176,0.82,101,15.4,131,,"8,410,513,076",1,121,,2,Carlos Rodriguez Cortes,94804285396,CAH87001094HDFRRA01,Unidad Médica Familiar 22
2024_12001094,2024_12001094_02,Mujer,39,78.45,149,,1,4.2,3.2,26,48,97,0.74,94,15.9,326,,"1,618,822,706",1,121,"1,332,125,551",0,Elena Rodriguez Sanchez,91758860061,ELM36001094HDFRRA01,Unidad Médica Familiar 22
2024_12001098,2024_12001098_01,Hombre,48,103.95,176.6,,1,3.9,3.8,41,99,139,0.97,93,12.7,89,,"8,410,513,076",1,121,,0,Juan Cortes Rodriguez,81706418879,JUH99001098HDFRRA01,HGZ 1 - Centro
2024_12001098,2024_12001098_02,Mujer,39,97.15,160.6,,1,4.8,3.7,31,89,136,0.88,102,31.3,170,,"8,094,113,529",1,121,"6,660,627,757",2,Lucia Perez Lopez,75939972047,LUM97001098HDFRRA01,Hospital Regional Sur
2024_14002008,2024_14002008_01,Mujer,76,,,,1,6.7,3.8,71,137,213,0.7,112,9.3,79,,"4,686,540,266",2,142,"1,239,548,347",2,Elena Lopez Gonzalez,32769444741,ELM93002008HDFRRA01,Clínica 14 - Santa Fe
2024_14002027,2024_14002027_01,Hombre,32,94.95,166.5,,1,6.7,3.7,19,61,92,0.71,98,19.1,182,,"1,598,883,748",2,142,,0,Javier Lopez Lopez,13705879171,JAH58002027HDFRRA01,HGZ 1 - Centro
2024_14002028,2024_14002028_01,Hombre,74,,,,1,6.8,3.5,42,156,200,0.97,334,7.6,185,,"7,949,866,251",2,142,"4,773,264,443",2,Ricardo Garcia Ramirez,85744850806,RIH89002028HDFRRA01,Hospital Regional Sur
2024_05002010,2024_05002010_01,Mujer,31,72.7,156.3,,1,3.4,2.9,36,84,122,0.43,65,5.2,78,5,"2,311,947,676",3,53,"1,290,540,534",0,Gabriela Lopez Sanchez,11977247801,GAM46002010HDFRRA01,Hospital Regional Sur
2024_05002013,2024_05002013_01,Mujer,74,,,,1,5,4,39,151,201,0.72,90,12.6,209,,"1,622,239,033",3,53,"8,226,534,946",0,Maria Sanchez Garcia,93859278711,MAM30002013HDFRRA01,Centro de Salud Urbano N01
2024_05002015,2024_05002015_01,Hombre,82,,,,1,3.3,3.3,28,110,152,0.84,72,22.1,210,,"162,495,008",3,53,"9,754,767,437",0,Eduardo Perez Gonzalez,11937446194,EDH15002015HDFRRA01,Clínica 14 - Santa Fe
2024_05002018,2024_05002018_01,Mujer,61,,,,1,5.2,3,37,77,118,0.55,86,9.9,129,,"1,664,558,312",3,53,"8,441,140,205",0,Isabel Rodriguez Rodriguez,87746717131,ISM85002018HDFRRA01,HGZ 1 - Centro
2024_05002018,2024_05002018_02,Mujer,36,68,157.8,,1,3.3,2.8,40,92,126,0.5,79,2.6,72,,"1,453,085,263",3,53,"5,791,111,005",0,Gabriela Ramirez Martinez,54905960435,GAM46002018HDFRRA01,Hospital Regional Sur
2024_05002033,2024_05002033_01,Hombre,47,111.7,164.4,,1,6.8,3.2,42,114,145,0.79,82,12.8,98,,"4,933,509,538",3,53,,0,Luis Cortes Rodriguez,53909160246,LUH22002033HDFRRA01,Unidad Médica Familiar 22
2024_05002033,2024_05002033_02,Mujer,40,77.9,156.9,,1,2.1,2.5,34,73,95,0.36,65,20.3,76,,"1,440,482,916",3,53,"8,040,846,299",0,Martha Cortes Rodriguez,81956264277,MAM24002033HDFRRA01,Unidad Médica Familiar 22
2024_26002005,2024_26002005_01,Mujer,43,62.65,151.3,,1,4.4,3.7,48,76,131,0.4,92,3.7,94,,"1,448,630,728",2,262,"1,137,606,344",0,Elena Garcia Rodriguez,97849053778,ELM45002005HDFRRA01,Hospital Regional Sur
2024_26002010,2024_26002010_01,Mujer,28,61.55,159.8,,1,4,4.1,72,106,180,0.5,87,5.3,77,,"3,115,443,155",2,262,"3,560,767,751",0,Ximena Lopez Cortes,47735864649,XIM48002010HDFRRA01,Centro de Salud Urbano N01
